,Title,ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
78,Rampage,427641,4/12/18,6.4,5226,332207671,175000000,"['Adventure', 'Animation', 'Family']","[12, 16, 10751]",['Pixar'],2018,4,Adventure,Animation,Family,,
79,Avengers: Endgame,299534,4/24/19,8.3,17927,2068223624,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","['Lucasfilm Ltd.', 'Bad Robot']",2019,4,Action,Adventure,Science Fiction,Fantasy,
80,The Lion King,420818,7/12/19,7.2,7615,1671713208,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","[28, 12, 878, 53]","['Amblin Entertainment', 'Legendary Pictures', 'Universal Pictures', 'DENTSU', 'The Kennedy/Marshall Company']",2019,7,Action,Adventure,Science Fiction,Thriller,
81,Frozen II,330457,11/20/19,7.3,7275,1515047671,190000000,"['Action', 'Thriller']","[28, 53]","['Abu Dhabi Film Commission', 'Universal Pictures', 'China Film Co.', 'Original Film', 'Fuji Television Network', 'Québec Production Services Tax Credit', 'Colorado Office of Film, Television & Media', 'DENTSU', 'MRC', 'One Race']",2019,11,Action,Thriller,,,
82,Spider-Man: Far from Home,429617,6/28/19,7.5,9676,1405403694,250000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Marvel Studios'],2019,6,Action,Adventure,Science Fiction,,
83,Captain Marvel,299537,3/6/19,7,11237,1156730962,74000000,"['Family', 'Animation', 'Adventure', 'Comedy']","[10751, 16, 12, 35]","['Illumination Entertainment', 'Universal Pictures']",2019,3,Family,Animation,Adventure,Comedy,
84,Joker,475557,10/2/19,8.2,17365,880674609,245000000,"['Action', 'Adventure', 'Thriller']","[28, 12, 53]","['Danjaq', 'B24', 'Columbia Pictures', 'Metro-Goldwyn-Mayer', 'Eon Productions', 'Sony Pictures']",2019,10,Action,Adventure,Thriller,,
85,Star Wars: The Rise of Skywalker,181812,12/18/19,6.5,6631,857611174,175000000,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","[16, 10751, 12, 18, 35]","['Pixar', 'Walt Disney Pictures']",2019,12,Animation,Family,Adventure,Drama,Comedy
86,Toy Story 4,301528,6/19/19,7.6,6910,682330139,150000000,"['Action', 'Adventure']","[28, 12]","['Paramount', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin', 'Skydance Media']",2019,6,Action,Adventure,,,
87,Aladdin,420817,5/22/19,7.1,7711,653428261,160000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Lionsgate', 'Color Force', 'Studio Babelsberg']",2019,5,Action,Adventure,Science Fiction,,
